id,ocid,roles,awds,month,year
PR-244,ocds-07smqs-1242489,b,223017848.95,12,2016
PRE850101UY3-002000999,ocds-07smqs-1242489,p,223017848.95,12,2016
SAT8410245V8,ocds-07smqs-1242489,st,223017848.95,12,2016
SAT-284,ocds-07smqs-1584896,b,2474999688.0,1,2018
SAT970701NN3-006E00001,ocds-07smqs-1584896,p,2474999688.0,1,2018
RSI111004D61,ocds-07smqs-1584896,st,2474999688.0,1,2018
CENSIDA-63,ocds-07smqs-1670864,b,1980872450.3,4,2018
SSA630502CU1-012K00999,ocds-07smqs-1670864,p,1980872450.3,4,2018
FMA9301181B1,ocds-07smqs-1670864,st,1980872450.3,4,2018
SHCP-268,ocds-07smqs-1275584,b,5982614200.85,2,2017
SHC850101U37-006000998,ocds-07smqs-1275584,p,5982614200.85,2,2017
MME920427EM3,ocds-07smqs-1275584,t,0.0,2,2017
SBG971124PL2,ocds-07smqs-1275584,st,5982614200.85,2,2017
CONAGUA-94,ocds-07smqs-1702716,b,1860491730.17,6,2018
CNA890116SF2-016B00009,ocds-07smqs-1702716,p,1860491730.17,6,2018
QCS931209G49,ocds-07smqs-1702716,t,0.0,6,2018
GMS971110BTA,ocds-07smqs-1702716,st,1825499401.94,6,2018
GNP9211244P0,ocds-07smqs-1702716,st,22020994.9,6,2018
SAF980202D99,ocds-07smqs-1702716,st,12971333.33,6,2018
COMESA-105,ocds-07smqs-1244727,b,247500000.0,12,2016
MEX6811122Q9-018TQA001,ocds-07smqs-1244727,p,247500000.0,12,2016
LSI080109BA6,ocds-07smqs-1244727,st,247500000.0,12,2016
PF-243,ocds-07smqs-1779250,b,3583336919.83,8,2018
SGO130103UJ4-004L00001,ocds-07smqs-1779250,p,3583336919.83,8,2018
AAN910409I35,ocds-07smqs-1779250,st,3583336919.83,8,2018
IMSS-192,ocds-07smqs-1236052,b,156792500.0,12,2016
IMS421231I45-050GYR007,ocds-07smqs-1236052,p,156792500.0,12,2016
BDA612981E51E2D6965E2CE3714B8CF7,ocds-07smqs-1236052,st,156792500.0,12,2016
IMSS-192,ocds-07smqs-1241435,b,246726111.0,12,2016
IMSS421231I4-050GYR001,ocds-07smqs-1241435,p,246726111.0,12,2016
CEL000518B51,ocds-07smqs-1241435,st,50732953.0,12,2016
CEI99120735A,ocds-07smqs-1241435,st,50732953.0,12,2016
CDI010829M49,ocds-07smqs-1241435,st,38666738.0,12,2016
